,Name,Online_Order,Book_Table,Rating,Votes,Location,Rest_Type,Dish_Liked,Cuisines,Approx_Cost,Type
12201,Zengi Pub & Restaurant,Yes,No,3.7,32,BTM,"Pub, Casual Dining",NA,"Finger Food, Continental, Chinese",900,Pubs and bars
12208,Deja Vu Resto Bar,Yes,Yes,4.4,2493,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900,Pubs and bars
12234,Nandhana Palace,No,Yes,4.1,771,Koramangala 4th Block,"Casual Dining, Bar","Supreme Chicken Biryani, Veg Thali, Chilli Chicken, Curd Rice, Lime Soda, Mutton Bone Soup, Hyderabadi Biryani","Andhra, Biryani, North Indian, Chinese",800,Pubs and bars
12252,Daawat Restaurant Bar & Pub,Yes,No,3.5,9,Koramangala 7th Block,"Bar, Casual Dining",NA,"Finger Food, North Indian, Seafood, Mangalorean, Chinese",700,Pubs and bars
12253,A Bar,No,No,3.3,19,HSR,Bar,NA,"North Indian, Continental",600,Pubs and bars
12254,Eagle Bar & Restaurant,No,No,0,0,JP Nagar,"Casual Dining, Bar",NA,"North Indian, Chinese",700,Pubs and bars
12261,Empire Restaurant,Yes,No,4,3213,Church Street,Casual Dining,"Paneer Tikka, Chicken Popcorn, Bheja Fry, Brain Fry, Ghee Rice, Jumbo Shawarma, Biryani","North Indian, Mughlai, South Indian, Chinese",750,Buffet
12275,Konark Vegetarian Restaurant,No,No,4.1,1007,Residency Road,Casual Dining,"Hyderabadi Biryani, Masala Poori, Kulcha, Butter Masala Dosa, Chaat, Filter Coffee, Kesari Bath","North Indian, Chinese, Continental, South Indian, Street Food, Juices",500,Buffet
12292,Saatvikk,No,No,2.8,132,Brigade Road,Casual Dining,"Masala Papad, Cheese Garlic Naan, Coffee, Corn Soup, Pasta","North Indian, South Indian, Continental",650,Buffet
12296,Canopy,No,No,3,108,MG Road,Casual Dining,Gulab Jamun,"North Indian, Continental, Chinese",800,Buffet
12305,Sunehri,No,No,3.8,67,Richmond Road,Casual Dining,"Buttermilk, Thali, Breakfast Buffet, Vada, Pongal",South Indian,500,Buffet
12320,Coastal Creek,No,No,3.3,13,Vasanth Nagar,Casual Dining,NA,"North Indian, Continental, South Indian",600,Buffet
12322,BLOW,Yes,Yes,4.3,945,Church Street,Cafe,"Mocktails, Pasta, Burgers, Sandwich, Salsa, Salad, Hazelnut Frappe","Cafe, Continental, American, Burger",750,NA
12331,Matteo Coffea,No,No,4.4,2638,Church Street,Cafe,"Coffee, Pasta, Donut, Salads, Choco Brownie Shake, Tiramisu Cheesecake, Sandwiches",Cafe,600,NA
